Instruções de Uso:,,,,TOTAL DO ESTOQUE ,,,,ESTOQUE/CATEGORIA,,%,ESTOQUE ANTERIOR,DIFERENÇA,,,
,TOMATE CEREJA,CEASA,BANDEJA,2,"R$ 4,95","R$ 9,90",,,,,,,,,
,FACA,EMBALAGEM,UN,50,"R$ 0,19","R$ 9,50",,,,,,,,,
,PEPINO JAPONÊS,CEASA,KG,"1,288","R$ 6,95","R$ 8,95",,,,,,,,,
,ACELGA,CEASA,UN,2,"R$ 4,40","R$ 8,80",,,,,,,,,
,AMIDO DE MILHO,MERCEARIA,PACOTE,2,"R$ 3,99","R$ 7,98",,,,,,,,,
,SORVETE DE HIBISCO ,SOBREMESAS,UN,1,"R$ 7,60","R$ 7,60",,,,,,,,,
,LIMÃO,CEASA,KG,"1,144","R$ 6,60","R$ 7,55",,,,,,,,,
,COLHER,EMBALAGEM,UN,50,"R$ 0,14","R$ 7,00",,,,,,,,,
,ABACATE,CEASA,UN,1,"R$ 6,58","R$ 6,58",,,,,,,,,
,CARÁ,CEASA,UND,"0,36","R$ 16,50","R$ 5,94",,,,,,,,,
,GENGIBRE,CEASA,KG,"0,26","R$ 22,00","R$ 5,72",,,,,,,,,
,SAL ,MERCEARIA,PACOTE,2,"R$ 2,19","R$ 4,38",,,,,,,,,
,LIMÃO SICILIANO,CEASA,UN,"0,346","R$ 11,00","R$ 3,81",,,,,,,,,
,RABANETE,CEASA,MÇ,1,"R$ 3,30","R$ 3,30",,,,,,,,,
,COENTRO,CEASA,MÇ,1,"R$ 2,20","R$ 2,20",,,,,,,,,
,PIMENTA D CHEIRO,CEASA,BANDEJA/KG,1,"R$ 2,20","R$ 2,20",,,,,,,,,
,CHOCOLATE AMARGO 2KG,MERCEARIA,BARRA,0,"R$ 88,55","R$ 0,00",,,,,,,,,
,AGUA COM GAS UND,BEBIDA,UND  ,0,"R$ 1,38","R$ 0,00",,,,,,,,,
,MARGARINA BALDE ,MERCEARIA,UN,0,"R$ 125,90","R$ 0,00",,,,,,,,,
,FARINHA DE TRIGO,MERCEARIA,PACOTE,0,"R$ 3,90","R$ 0,00",,,,,,,,,
,AZEITE TRUFADO,MERCEARIA,UN,0,"R$ 75,90","R$ 0,00",,,,,,,,,
,CAMARÃO (COZINHA),FRUTO DO MAR,PCT,0,"R$ 2,50","R$ 0,00",,,,,,,,,
,CX DE OVO (180 UND),CEASA,UN,0,"R$ 0,56","R$ 0,00",,,,,,,,,
,MACARRÃO YAKISSOBA ,JAPONESES,PACOTE,0,"R$ 4,33","R$ 0,00",,,,,,,,,
,MOLHO AGRIDOCE 5L ,JAPONESES,GL,0,"R$ 56,98","R$ 0,00",,,,,,,,,
,ALHO DESCASCADO,CEASA,KG,0,"R$ 49,50","R$ 0,00",,,,,,,,,
,SORVETE VIA LACTEA ,SOBREMESAS,UN,0,"R$ 7,60","R$ 0,00",,,,,,,,,
,SUCO NATURAL ,BEBIDA,UND  ,0,"R$ 45,00","R$ 0,00",,,,,,,,,
